target_kind,complexity,noise_std,model,dim,eig_idx,budget,selected_lr,median_test_rmse,q25_test_rmse,q75_test_rmse,mean_test_rmse,n
general,5,0.0,unconstrained,5,2,1,0.1,0.9958817660808563,0.8986647576093674,1.1144094467163086,1.000199694186449,96
general,5,0.0,unconstrained,5,2,2,0.1,0.859523206949234,0.7635102719068527,0.9917080998420715,0.8774487332751354,96
general,5,0.0,unconstrained,5,2,5,0.1,0.7762437164783478,0.6814566254615784,0.8923363238573074,0.782095520136257,96
general,5,0.0,unconstrained,5,2,10,0.1,0.700262188911438,0.6277248412370682,0.7710095196962357,0.6958331245308121,96
general,5,0.0,unconstrained,5,2,20,0.1,0.5853081345558167,0.5386342406272888,0.6712855249643326,0.5990002959345778,96
general,5,0.0,unconstrained,5,2,50,0.1,0.49313056468963623,0.41947038471698755,0.579634889960289,0.5016762856394053,96
general,5,0.0,unconstrained,5,2,100,0.1,0.4220953583717346,0.3492920473217964,0.516544371843338,0.43724760847787064,96
general,5,0.0,unconstrained,5,2,200,0.0372759372031493,0.3652585446834564,0.30947989225387573,0.4665082842111587,0.3868756478962799,96
general,5,0.0,unconstrained,5,2,500,0.0372759372031493,0.3069235235452652,0.25985389947891235,0.39643233269453043,0.3280835429516931,96
general,5,0.0,unconstrained,9,4,1,0.0372759372031493,0.9220677018165588,0.803764209151268,1.0252541899681091,0.9297770112752914,96
general,5,0.0,unconstrained,9,4,2,0.0372759372031493,0.8126009702682495,0.7190897315740585,0.9355287849903106,0.8283221504340569,96
general,5,0.0,unconstrained,9,4,5,0.0372759372031493,0.7191845774650574,0.622074082493782,0.8119048476219177,0.7189720338210464,96
general,5,0.0,unconstrained,9,4,10,0.0372759372031493,0.6388576924800873,0.5617614388465881,0.7287303805351257,0.6491818266610304,96
general,5,0.0,unconstrained,9,4,20,0.0372759372031493,0.5515986084938049,0.47958967089653015,0.6327057927846909,0.5530588459223509,96
general,5,0.0,unconstrained,9,4,50,0.0372759372031493,0.4262148588895798,0.36487759649753565,0.4985010698437691,0.438806291980048,96
