protocol,optimizer,phase,train_size,data_seed,model,dim,width,num_parameters,lr,init_seed,val_logloss,test_logloss,test_brier
one_pass,adam,tuning,4194304,0,linear,0,0,29,0.001,0,0.6389582922058106,,
one_pass,adam,tuning,4194304,0,linear,0,0,29,0.001,1,0.6422045986328125,,
one_pass,adam,tuning,4194304,0,linear,0,0,29,0.01,0,0.6375611692199707,,
one_pass,adam,tuning,4194304,0,linear,0,0,29,0.01,1,0.6375482556457519,,
one_pass,adam,tuning,4194304,0,linear,0,0,29,0.1,0,0.6416706275634766,,
one_pass,adam,tuning,4194304,0,linear,0,0,29,0.1,1,0.6416824114379883,,
one_pass,adam,tuning,4194304,0,mlp-1,3,6,181,0.001,0,0.6018035252380372,,
one_pass,adam,tuning,4194304,0,mlp-1,3,6,181,0.001,1,0.6094346870117188,,
one_pass,adam,tuning,4194304,0,mlp-1,3,6,181,0.01,0,0.5803030126037597,,
one_pass,adam,tuning,4194304,0,mlp-1,3,6,181,0.01,1,0.5797730981140137,,
one_pass,adam,tuning,4194304,0,mlp-1,3,6,181,0.1,0,0.5829592462158203,,
one_pass,adam,tuning,4194304,0,mlp-1,3,6,181,0.1,1,0.5834929966430664,,
one_pass,adam,tuning,4194304,0,mlp-2,3,5,181,0.001,0,0.5891401706237793,,
one_pass,adam,tuning,4194304,0,mlp-2,3,5,181,0.001,1,0.5862748693847656,,
one_pass,adam,tuning,4194304,0,mlp-2,3,5,181,0.01,0,0.5709293472290039,,
one_pass,adam,tuning,4194304,0,mlp-2,3,5,181,0.01,1,0.5658492665405274,,
one_pass,adam,tuning,4194304,0,mlp-2,3,5,181,0.1,0,0.5831401484069825,,
one_pass,adam,tuning,4194304,0,mlp-2,3,5,181,0.1,1,0.5760415294799804,,
one_pass,adam,tuning,4194304,0,mlp-3,3,4,161,0.001,0,0.6142756001586914,,
one_pass,adam,tuning,4194304,0,mlp-3,3,4,161,0.001,1,0.5979718517456055,,
one_pass,adam,tuning,4194304,0,mlp-3,3,4,161,0.01,0,0.5844676703186035,,
one_pass,adam,tuning,4194304,0,mlp-3,3,4,161,0.01,1,0.5770277794799805,,
one_pass,adam,tuning,4194304,0,mlp-3,3,4,161,0.1,0,0.5980897095947265,,
one_pass,adam,tuning,4194304,0,mlp-3,3,4,161,0.1,1,0.6913221481323242,,
one_pass,adam,tuning,4194304,0,spectral,3,0,174,0.001,0,0.5973902950134278,,
one_pass,adam,tuning,4194304,0,spectral,3,0,174,0.001,1,0.6028363605957031,,
one_pass,adam,tuning,4194304,0,spectral,3,0,174,0.01,0,0.5725228618164062,,
one_pass,adam,tuning,4194304,0,spectral,3,0,174,0.01,1,0.5721847785949707,,
one_pass,adam,tuning,4194304,0,spectral,3,0,174,0.1,0,0.5795131966552735,,
one_pass,adam,tuning,4194304,0,spectral,3,0,174,0.1,1,0.5812312567749024,,
one_pass,adam,tuning,4194304,0,mlp-1,5,14,421,0.001,0,0.5845034812622071,,
one_pass,adam,tuning,4194304,0,mlp-1,5,14,421,0.001,1,0.5826453280639649,,
one_pass,adam,tuning,4194304,0,mlp-1,5,14,421,0.01,0,0.5574715096740722,,
one_pass,adam,tuning,4194304,0,mlp-1,5,14,421,0.01,1,0.5556119897460937,,
one_pass,adam,tuning,4194304,0,mlp-1,5,14,421,0.1,0,0.5579437901611328,,
