target_kind,complexity,noise_std,model,dim,eig_idx,budget,selected_lr,median_test_rmse,q25_test_rmse,q75_test_rmse,mean_test_rmse,n
general,5,0.0,unconstrained,5,2,1,0.1,0.7962400615215302,0.59626904129982,1.0223599672317505,0.8195366691797972,96
general,5,0.0,unconstrained,5,2,2,0.1,0.6142790615558624,0.44438499957323074,0.8497884273529053,0.6436397233822694,96
general,5,0.0,unconstrained,5,2,5,0.1,0.5432674884796143,0.31286104023456573,0.6796572357416153,0.5417027357810488,96
general,5,0.0,unconstrained,5,2,10,0.1,0.381742849946022,0.2460463978350162,0.5998739153146744,0.43543555013214547,96
general,5,0.0,unconstrained,5,2,20,0.1,0.26386092603206635,0.17721274495124817,0.42676855623722076,0.3168573602645968,96
general,5,0.0,unconstrained,5,2,50,0.1,0.13537529855966565,0.0679764356464147,0.21424865722656244,0.16530678888860464,96
general,5,0.0,unconstrained,5,2,100,0.1,0.0705809332430362,0.03804829902946945,0.12857785820960999,0.0955050594930071,96
general,5,0.0,unconstrained,5,2,200,0.1,0.0387509632855653,0.0233200639486312,0.07121342234313482,0.05529722332236508,96
general,5,0.0,unconstrained,5,2,500,0.1,0.0206433171406388,0.012807111721485775,0.03104096092283725,0.024523728420414604,96
general,5,0.0,unconstrained,9,4,1,0.1,0.7849053144454956,0.6119791865348816,0.9783522635698318,0.8196988153892258,96
general,5,0.0,unconstrained,9,4,2,0.1,0.613583892583847,0.48827949166297907,0.7683240324258804,0.6515889984245101,96
general,5,0.0,unconstrained,9,4,5,0.0372759372031493,0.4588771462440491,0.3415704071521759,0.7069535106420517,0.5436988552100956,96
general,5,0.0,unconstrained,9,4,10,0.1,0.30817756056785583,0.23240511864423746,0.4579777717590332,0.37528828741051257,96
general,5,0.0,unconstrained,9,4,20,0.0372759372031493,0.19327754527330393,0.14486615359783167,0.38641961663961405,0.2886385140009224,96
general,5,0.0,unconstrained,9,4,50,0.1,0.09339183568954465,0.0581984436139464,0.13877700641751284,0.11816237131521723,96
general,5,0.0,unconstrained,9,4,100,0.1,0.0428985301405191,0.02740244381129735,0.06743686087429522,0.05888677827897477,96
general,5,0.0,unconstrained,9,4,200,0.0372759372031493,0.02912447135895485,0.017962011042982326,0.0625239498913288,0.04535701478501623,96
general,5,0.0,unconstrained,9,4,500,0.0372759372031493,0.013210475444793649,0.008765151957049876,0.02928383508697145,0.02022260744949254,96
general,5,0.0,unconstrained,15,7,1,0.0372759372031493,0.6764988899230957,0.5111486166715622,0.9589022248983383,0.751334553429236,96
