target_kind,complexity,target_seed,noise_std,model,dim,lr,init_seed,batch_size,step,train_size,val_rmse,test_rmse
general,5,0,0.0,unconstrained,5,0.0001,0,32,1,32,0.9259666800498962,0.9289916157722473
general,5,0,0.0,unconstrained,5,0.0001,0,32,2,64,0.925000786781311,0.9280219078063965
general,5,0,0.0,unconstrained,5,0.0001,0,32,5,160,0.9220573306083679,0.9250645637512207
general,5,0,0.0,unconstrained,5,0.0001,0,32,10,320,0.9171870946884155,0.9201698899269104
general,5,0,0.0,unconstrained,5,0.0001,0,32,20,640,0.9077117443084717,0.9106495380401611
general,5,0,0.0,unconstrained,5,0.0001,0,32,50,1600,0.8791764974594116,0.8820134997367859
general,5,0,0.0,unconstrained,5,0.0001,0,32,100,3200,0.83376544713974,0.8364802598953247
general,5,0,0.0,unconstrained,5,0.0001,0,32,200,6400,0.7472950220108032,0.7497555017471313
general,5,0,0.0,unconstrained,5,0.0001,1,32,1,32,0.7627929449081421,0.7648965120315552
general,5,0,0.0,unconstrained,5,0.0001,1,32,2,64,0.7620429992675781,0.7641497850418091
general,5,0,0.0,unconstrained,5,0.0001,1,32,5,160,0.759826123714447,0.7619421482086182
general,5,0,0.0,unconstrained,5,0.0001,1,32,10,320,0.7561089992523193,0.7582396268844604
general,5,0,0.0,unconstrained,5,0.0001,1,32,20,640,0.7487221956253052,0.7508805394172668
general,5,0,0.0,unconstrained,5,0.0001,1,32,50,1600,0.7271685600280762,0.7293508648872375
general,5,0,0.0,unconstrained,5,0.0001,1,32,100,3200,0.6922433376312256,0.6945186853408813
general,5,0,0.0,unconstrained,5,0.0001,1,32,200,6400,0.6272368431091309,0.6295332312583923
general,5,0,0.0,unconstrained,5,0.001,0,32,1,32,0.917003870010376,0.9199768900871277
general,5,0,0.0,unconstrained,5,0.001,0,32,2,64,0.907383382320404,0.9103198647499084
general,5,0,0.0,unconstrained,5,0.001,0,32,5,160,0.8782476782798767,0.8810514211654663
general,5,0,0.0,unconstrained,5,0.001,0,32,10,320,0.8309539556503296,0.8335397243499756
general,5,0,0.0,unconstrained,5,0.001,0,32,20,640,0.7430527210235596,0.745308518409729
general,5,0,0.0,unconstrained,5,0.001,0,32,50,1600,0.5240804553031921,0.5261059999465942
general,5,0,0.0,unconstrained,5,0.001,0,32,100,3200,0.3345503509044647,0.3361542224884033
general,5,0,0.0,unconstrained,5,0.001,0,32,200,6400,0.19856023788452148,0.19941090047359467
general,5,0,0.0,unconstrained,5,0.001,1,32,1,32,0.7559733390808105,0.7581114172935486
general,5,0,0.0,unconstrained,5,0.001,1,32,2,64,0.7485275268554688,0.75069659948349
general,5,0,0.0,unconstrained,5,0.001,1,32,5,160,0.7267022728919983,0.7289549112319946
general,5,0,0.0,unconstrained,5,0.001,1,32,10,320,0.6906247138977051,0.6929942965507507
general,5,0,0.0,unconstrained,5,0.001,1,32,20,640,0.6216184496879578,0.6241600513458252
general,5,0,0.0,unconstrained,5,0.001,1,32,50,1600,0.46032825112342834,0.46290725469589233
general,5,0,0.0,unconstrained,5,0.001,1,32,100,3200,0.3304937481880188,0.3335469663143158
general,5,0,0.0,unconstrained,5,0.001,1,32,200,6400,0.22542278468608856,0.22728869318962097
general,5,0,0.0,unconstrained,5,0.01,0,32,1,32,0.8291002511978149,0.8315851092338562
general,5,0,0.0,unconstrained,5,0.01,0,32,2,64,0.7379314303398132,0.7401749491691589
general,5,0,0.0,unconstrained,5,0.01,0,32,5,160,0.5026641488075256,0.5044718980789185
general,5,0,0.0,unconstrained,5,0.01,0,32,10,320,0.2795637845993042,0.2801244556903839
general,5,0,0.0,unconstrained,5,0.01,0,32,20,640,0.13965429365634918,0.13875895738601685
general,5,0,0.0,unconstrained,5,0.01,0,32,50,1600,0.03139669448137283,0.031062301248311996
general,5,0,0.0,unconstrained,5,0.01,0,32,100,3200,0.023377543315291405,0.023406801745295525
general,5,0,0.0,unconstrained,5,0.01,0,32,200,6400,0.020637964829802513,0.020758474245667458
general,5,0,0.0,unconstrained,5,0.01,1,32,1,32,0.6897339224815369,0.6922009587287903
general,5,0,0.0,unconstrained,5,0.01,1,32,2,64,0.6204384565353394,0.6230788230895996
general,5,0,0.0,unconstrained,5,0.01,1,32,5,160,0.45070594549179077,0.4536518454551697
general,5,0,0.0,unconstrained,5,0.01,1,32,10,320,0.3217020630836487,0.325837641954422
general,5,0,0.0,unconstrained,5,0.01,1,32,20,640,0.22516599297523499,0.22691218554973602
general,5,0,0.0,unconstrained,5,0.01,1,32,50,1600,0.13824957609176636,0.13892890512943268
general,5,0,0.0,unconstrained,5,0.01,1,32,100,3200,0.11976150423288345,0.11987364292144775
general,5,0,0.0,unconstrained,5,0.01,1,32,200,6400,0.06613829731941223,0.0650918036699295
general,5,0,0.0,unconstrained,5,0.1,0,32,1,32,0.30568110942840576,0.3062174618244171
general,5,0,0.0,unconstrained,5,0.1,0,32,2,64,0.16010522842407227,0.1584440916776657
general,5,0,0.0,unconstrained,5,0.1,0,32,5,160,0.1904306262731552,0.19065071642398834
general,5,0,0.0,unconstrained,5,0.1,0,32,10,320,0.12460459768772125,0.1233966276049614
general,5,0,0.0,unconstrained,5,0.1,0,32,20,640,0.05611583590507507,0.05568142980337143
general,5,0,0.0,unconstrained,5,0.1,0,32,50,1600,0.03560139983892441,0.03525565564632416
general,5,0,0.0,unconstrained,5,0.1,0,32,100,3200,0.01287105679512024,0.01292621809989214
general,5,0,0.0,unconstrained,5,0.1,0,32,200,6400,0.020070554688572884,0.020395567640662193
general,5,0,0.0,unconstrained,5,0.1,1,32,1,32,0.33304551243782043,0.3368685245513916
general,5,0,0.0,unconstrained,5,0.1,1,32,2,64,0.30135807394981384,0.30485618114471436
general,5,0,0.0,unconstrained,5,0.1,1,32,5,160,0.23896777629852295,0.23865017294883728
general,5,0,0.0,unconstrained,5,0.1,1,32,10,320,0.17003530263900757,0.1717916578054428
